label-coarse,text,questions
1,Which is the best opening move in chess ?,which is the shrewdest opened move in Hikaru_Nakamura
3,Who is the most sexy celebrity ?,who is the most teeny_weeny_bikini listers
3,What title did Shevardnadze have during the Soviet era ?,what WBO_Lightweight did shevardnadze have during the Khmelnytsky statist_ideology
3,Who markets Spaghetti-o 's ?,who Summary_Box_Commodities homemade_marinara os
4,How many people watch network television ?,how many people watch Ethernet_LANs soap_operas
1,What 's the colored part of the eye called ?,what is the beige_taupe part of the corneal_swelling decribed
3,"Who said , `` I shall return . '' during World War Two ?","who admitted, i unto_thee return during world hopeless_quagmire two"
3,"Who created the comic strip , `` Garfield '' ?","who built the Christopher_Guest_mockumentaries Roaches_rats, garfield"
1,"What will a kid eat the middle of , and save the chocolate on the outside for last ?","what will a nothing_fazes undercook the replacing_flavored_milks of, and ##Alive_viewers the choccie on the adjacent for last"
1,"What poem contains the line , `` grow old with me the best is yet to be '' .","what Keats_Ode contain the www.albuquerquebaseball.com, grow Edwin_Pellecier with me the tastiest is yet to be"
1,What does ribavirin consist of ?,what does fluticasone Includes of
7,What European country abandoned postage stamps in 1923 because printing them cost more than their face value ?,what european impoverished_Arabian_peninsula abandoned postage stamps in because iGen4 them pricetags more than their steep_uphill_climb ArrowStream_OnDemand
0,For what reason did some San Diego schools stop serving apples ?,for what motivating_factor did some san anelka schools ceasing serving apple_varieties
0,Why do heavier objects travel downhill faster ?,why do heavier planetoids vacations Val_Gardena faster
1,What color flies closest to the staff on Belgium 's flag ?,what browns_reds Tempus_fugit closest to the nurses on belgiums flag
1,What is a fear of color ?,what is a worried of pinks_purples
3,Who were the `` filthiest people alive ? '',who were the filthiest Michiganians ate_ravenously
0,What is Candlemas Day ?,what is candlemas bookmarking_washingtonpost.com_answersheet
3,Who is the sexiest women in the world ?,who is the prettiest Nasdaq_WTSLA_leading in the world.â_€
7,What country 's capital is Lagos ?,what infuse_dynamism capitalization is lagos
1,What 's the term for a young fox ?,what is the poor_nasty_brutish for a thirties hen_coop
